Product_Name,Product_Brand,Product_Price,Product_Image_Url,Product_Url
Burton Photon BOA Wide 2021,Burton,€ 35995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Photon+BOA+Wide+2021+Snowboardboots-567178/
Union Legacy 2021,Union,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Legacy+2021+Snowboardbindung-618617/?colid=white+team+hb+
Vans Hi-Standard Pro 2021,Vans,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Vans-Hi+Standard+Pro+2021+Snowboardboots-628308/
Flow Nexus Snowboard Bindings 2021,Flow,€ 16995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Flow-Nexus+Snowboard+Bindung+2021-629558/
Union Atlas 2021,Union,€ 29995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Atlas+2021+Snowboardbindung-618605/?colid=mustard+yellow
Ride Lasso Pro 2021,Ride,€ 34995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Ride-Lasso+Pro+2021+Snowboardboots-624686/
Burton Photon Step On 2021,Burton,€ 40995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Photon+Step+On+2021-567091/
adidas Snowboarding Tactical Lexicon ADV 2021,adidas Snowboarding,€ 39995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/adidas+Snowboarding-Tactical+Lexicon+ADV+2021+Snowboardboots-626921/
Union Flite Pro 2021,Union,€ 15995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Flite+Pro+2021+Snowboardbindung-618612/
Smith Squad Black(+Bonus Lens) Goggle,Smith,€ 9995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Smith-Squad+Black+Bonus+Lens+Goggle-627341/
Burton Cartel 2021,Burton,€ 24995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Cartel+2021+Snowboardbindung-622738/
Giro Ledge Helmet,Giro,€ 7995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Giro-Ledge+Helm-628962/
DC Control Step On 2021,DC,€ 33995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/DC-Control+Step+On+2021-614783/
Union Force 2021,Union,€ 24995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Force+2021+Snowboardbindung-618606/
Burton Moto Snowboard Boots,Burton,€ 19995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Moto+Snowboard+Boots-522448/
Union Strata 2021,Union,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Strata+2021+Snowboardbindung-618609/?colid=earth
